Source, Target, Weight, Common_Token_Cnt
20311, 20312, 0.500000, 1
10763, 10770, 0.090909, 1
19464, 19467, 0.100000, 1
18396, 18400, 0.066667, 1
20379, 20382, 0.167409, 2
13068, 13068, 0.750000, 2
18693, 18694, 0.166667, 1
17976, 17977, 0.420573, 3
10965, 19420, 0.077665, 2
15098, 15106, 0.014286, 1
13819, 13819, 0.500929, 2
12856, 12857, 0.700000, 2
13127, 21325, 0.033333, 1
14036, 14036, 0.590909, 2
11065, 11065, 0.501808, 2
20952, 20965, 0.029412, 1
14395, 14395, 1.000929, 3
18517, 18518, 0.250000, 1
15105, 15146, 0.014286, 1
16286, 16287, 0.250000, 1
16328, 16328, 0.501808, 2
12145, 15254, 0.028571, 1
10093, 10093, 1.000742, 3
14754, 14755, 0.333333, 1
13500, 14894, 0.100000, 1
20918, 20920, 0.333333, 1
18859, 18860, 0.055556, 1
16385, 16385, 0.336601, 2
17064, 17065, 0.333333, 1
15099, 15127, 0.014286, 1
13590, 13590, 0.336580, 2
15810, 15811, 0.502591, 2
11892, 11892, 0.590909, 2
15831, 21657, 0.017241, 1
11338, 11340, 0.200000, 1
21550, 21551, 0.333333, 1
12380, 12380, 0.504835, 3
21651, 21651, 0.438312, 3
10372, 10374, 0.142857, 1
15149, 19557, 0.014286, 1
14365, 14373, 0.017241, 1
13611, 21433, 0.017857, 1
18103, 18104, 0.333333, 1
20204, 20205, 0.333333, 1
10509, 10511, 0.146125, 2
14180, 16100, 0.142857, 1
15130, 15136, 0.014286, 1
13266, 13267, 0.250000, 1
10690, 10697, 0.029412, 1
13049, 13052, 0.166667, 1
13868, 13868, 0.338447, 3
15140, 19557, 0.014286, 1
18206, 18208, 0.200000, 1
11230, 11230, 0.341590, 3
20949, 20953, 0.029412, 1
13807, 13809, 0.142857, 1
11397, 15750, 0.071429, 1
12822, 12823, 0.416667, 2
19323, 19323, 0.336580, 2
18671, 18671, 0.337103, 3
15946, 15947, 0.333333, 1
18998, 19000, 0.100000, 1
11098, 13127, 0.166667, 1
17683, 17687, 0.166667, 1
11829, 11832, 0.200000, 1
11738, 13191, 0.111111, 1
15070, 15071, 0.250000, 1
15038, 15038, 0.833333, 2
15101, 15140, 0.015643, 2
8956, 8956, 0.168475, 2
19968, 19980, 0.055556, 1
14720, 14721, 0.500000, 1
16268, 16268, 0.503000, 3
21373, 21427, 0.011111, 1
9299, 9299, 0.738095, 3
21199, 21200, 0.500000, 1
14915, 14917, 0.067929, 2
17329, 17331, 0.250000, 1
11575, 11576, 0.274390, 2
10545, 10548, 0.100000, 1
13557, 13557, 1.000000, 2
18920, 18921, 0.500000, 1
20956, 20970, 0.029412, 1
19424, 19428, 0.045455, 1
20216, 20217, 0.333333, 1
15740, 15742, 0.333333, 1
11715, 11723, 0.111111, 1
14291, 14291, 0.501263, 2
9577, 19431, 0.090909, 1
13809, 15365, 0.142857, 1
16886, 16886, 0.146710, 3
17881, 17882, 0.500000, 1
9157, 9159, 0.090909, 1
10615, 10615, 0.666667, 2
9064, 9064, 0.833333, 2
15369, 21623, 0.125000, 1
15280, 21637, 0.142857, 1
11865, 11866, 0.500000, 1
10501, 10501, 1.000000, 2
17821, 17821, 0.376812, 2
21454, 21454, 0.412273, 3
21049, 21049, 0.503030, 2
13132, 13132, 0.509441, 3
15088, 15136, 0.014286, 1
14347, 14369, 0.017241, 1
16053, 16055, 0.166667, 1
13690, 13691, 0.062500, 1
15936, 15937, 0.500000, 1
15108, 15130, 0.014286, 1
12347, 12348, 0.500000, 1
13898, 20710, 0.201263, 2
9826, 13430, 0.090909, 1
9255, 9257, 0.168924, 2
13061, 13061, 0.143600, 2
10954, 10955, 0.166667, 1
16488, 16488, 0.274390, 2
17606, 17611, 0.055556, 1
10606, 10608, 0.166667, 1
13199, 13200, 0.500000, 1
15982, 15985, 0.252841, 2
14339, 14362, 0.017241, 1
17677, 17678, 0.583333, 2
20482, 20482, 1.000000, 2
14175, 14176, 0.500000, 1
13528, 16660, 0.111111, 1
9134, 9134, 0.367929, 3
10710, 15134, 0.111111, 1
21612, 21627, 0.071429, 1
16930, 16931, 0.439867, 3
14822, 14823, 0.071429, 1
21367, 21369, 0.142857, 1
21066, 21069, 0.168803, 2
12869, 12869, 0.337720, 3
14362, 14389, 0.017241, 1
9718, 9718, 0.503534, 2
13450, 21330, 0.066667, 1
14893, 14893, 0.383333, 3
9938, 9939, 0.166667, 1
19438, 19439, 0.500000, 1
18716, 19435, 0.125000, 1
12525, 12525, 0.500742, 2
13087, 13088, 0.500000, 1
17017, 17018, 0.500000, 1
12620, 19153, 0.166667, 1
17761, 17763, 0.200000, 1
14917, 15413, 0.066667, 1
12664, 12664, 0.608652, 4
17722, 19650, 0.250000, 2
13336, 13340, 0.062500, 1
10707, 10707, 0.140523, 2
10986, 10986, 0.642857, 2
13280, 21572, 0.058824, 1
19970, 19971, 0.055556, 1
13383, 13384, 0.250000, 1
10345, 10345, 0.502045, 2
13569, 13569, 1.000000, 2
10080, 10081, 0.500000, 1
19964, 19979, 0.055556, 1
16351, 16353, 0.333333, 1
21634, 21634, 0.128968, 2
11535, 11536, 0.631622, 3
10351, 10351, 0.278571, 2
11329, 11330, 0.500000, 1
15093, 15111, 0.014286, 1
15371, 17442, 0.058824, 1
13496, 14382, 0.166667, 1
11834, 11834, 0.750000, 2
18454, 18454, 0.700929, 3
15258, 15258, 0.078571, 2
14906, 15834, 0.017241, 1
13562, 13563, 0.333333, 1
17108, 17108, 0.503030, 2
15016, 21427, 0.011111, 1
17857, 17857, 0.502083, 2
18862, 18872, 0.055556, 1
12311, 12311, 0.335142, 2
15111, 15142, 0.014286, 1
13037, 13040, 0.166667, 1
10813, 10814, 0.083333, 1
21238, 21608, 0.125000, 1
12200, 12200, 1.000000, 2
14991, 14992, 0.502257, 2
20952, 20961, 0.029412, 1
18927, 18927, 1.199125, 5
17146, 17147, 0.500000, 1
15105, 15142, 0.014286, 1
12302, 12302, 0.258670, 3
18397, 19574, 0.066667, 1
11118, 11119, 0.502674, 2
21020, 21020, 0.750000, 2
12028, 12028, 0.585591, 3
15277, 15278, 0.202943, 3
15074, 15834, 0.017241, 1
16448, 16448, 1.000000, 2
16747, 16748, 0.090909, 1
13281, 14368, 0.062500, 1
15412, 15412, 0.067409, 2
10835, 10835, 0.337864, 3
15849, 15849, 0.379095, 4
15363, 15368, 0.038462, 1
9738, 9738, 0.500742, 2
15359, 21439, 0.062500, 1
10298, 10298, 0.503071, 3
9125, 9125, 0.500929, 2
17333, 17333, 0.504341, 3
14876, 14877, 0.250928, 2
12955, 12955, 0.501808, 2
21495, 21495, 0.203907, 3
9192, 11862, 0.333333, 1
12963, 12964, 0.142857, 1
15948, 15949, 0.500000, 1
12928, 12929, 0.500000, 1
15104, 15121, 0.014286, 1
14822, 14827, 0.071429, 1
15831, 15849, 0.017984, 2
16115, 16115, 0.336601, 2
12055, 12055, 0.464956, 3
9549, 9553, 0.200000, 1
15543, 15544, 0.090909, 1
13189, 13189, 0.277778, 2
10964, 10965, 0.197375, 6
21493, 21493, 0.200742, 2
15128, 15149, 0.014286, 1
14770, 15844, 0.017241, 1
14495, 14496, 0.200000, 1
19663, 19663, 0.666667, 2
11172, 20986, 0.333333, 1
15119, 15121, 0.014286, 1
11717, 11719, 0.112040, 2
12086, 12087, 0.250000, 1
18905, 18905, 0.502674, 2
10774, 10776, 0.200000, 1
13641, 13643, 0.111111, 1
9072, 9072, 0.383759, 4
21348, 21348, 0.502016, 2
9081, 9081, 1.000000, 2
9638, 9639, 0.500000, 1
17176, 17176, 0.611111, 2
19128, 19129, 0.250000, 1
21210, 21216, 0.055556, 1
18597, 21431, 0.011111, 1
11354, 11354, 0.252005, 3
15767, 15768, 0.250000, 1
14343, 14391, 0.017241, 1
17084, 17084, 1.000000, 2
14979, 14980, 0.500000, 1
19167, 19169, 0.076923, 1
16407, 16410, 0.111111, 1
13510, 13511, 0.341764, 3
19970, 19975, 0.055556, 1
14013, 14013, 0.666667, 2
9386, 21331, 0.033333, 1
16656, 21281, 0.111111, 1
11287, 11287, 0.505313, 3
16830, 19429, 0.045455, 1
12601, 14917, 0.067409, 2
9701, 21050, 0.333333, 1
15098, 15141, 0.014286, 1
10684, 10697, 0.029412, 1
13609, 13610, 0.500000, 1
19964, 19975, 0.055556, 1
14357, 14370, 0.017241, 1
16632, 16632, 0.334262, 2
16832, 17918, 0.142857, 1
15130, 15132, 0.014286, 1
13287, 14341, 0.079741, 2
12080, 12080, 0.296429, 3
11052, 20239, 0.020000, 1
14993, 16484, 0.250000, 1
14385, 14388, 0.017241, 1
14904, 15272, 0.028571, 1
20920, 20920, 0.444444, 2
12612, 12612, 0.833333, 2
18491, 18494, 0.250000, 1
17898, 17898, 0.700000, 2
10381, 10381, 0.833333, 2
20040, 20045, 0.100000, 1
16745, 16745, 0.202020, 2
14369, 14371, 0.020775, 2
18591, 18593, 0.166667, 1
21601, 21601, 0.500742, 2
10695, 19880, 0.029412, 1
19698, 19698, 0.193272, 5
