Source	 Target	 Weight	 Common_Token_Cnt
2568	 2569	 0.500000	 1
1985	 1987	 0.333333	 1
1400	 1402	 0.250000	 1
1448	 1448	 0.268689	 3
2051	 2051	 0.514430	 3
2068	 2070	 0.250000	 1
1471	 1472	 0.250000	 1
1472	 1474	 0.250000	 1
1935	 1945	 0.071429	 1
2186	 2186	 1.000000	 2
2217	 2218	 0.500000	 1
1525	 1525	 0.510753	 2
2269	 2270	 0.500000	 1
1543	 1545	 0.333333	 1
2051	 2052	 0.507937	 2
1769	 2618	 0.125000	 1
1942	 1942	 0.090053	 3
2608	 2609	 0.166667	 1
2172	 2174	 0.333333	 1
2556	 2556	 0.600985	 4
1940	 1941	 0.071429	 1
2380	 2380	 0.700000	 2
1215	 1215	 0.273796	 3
1942	 1952	 0.071429	 1
1870	 1870	 0.517132	 3
1345	 1345	 0.224786	 3
1445	 2446	 0.333333	 1
2581	 2581	 0.517857	 2
1558	 1559	 0.833333	 2
1936	 1939	 0.071429	 1
1511	 1513	 0.500000	 1
1935	 1937	 0.071429	 1
2605	 2610	 0.166667	 1
1942	 1943	 0.090053	 3
1936	 1945	 0.090053	 3
1941	 1943	 0.071429	 1
2593	 2593	 0.346491	 2
2226	 2227	 0.507937	 2
2605	 2609	 0.366667	 2
1685	 1686	 0.346847	 2
1183	 1183	 0.338624	 2
1196	 1200	 0.166667	 1
2042	 2043	 0.500000	 1
1936	 1936	 0.090053	 3
2646	 2648	 0.250000	 1
1418	 2231	 0.333333	 1
1933	 1933	 0.611111	 2
1952	 1952	 0.089286	 2
1253	 1253	 0.505291	 2
1196	 1201	 0.166667	 1
1942	 1944	 0.071429	 1
1711	 1712	 0.346847	 2
2330	 2330	 0.206494	 2
2158	 2346	 0.333333	 1
1401	 1403	 0.250000	 1
2443	 2443	 0.278495	 3
1549	 1549	 0.508130	 2
2420	 2425	 0.100000	 1
2382	 2384	 0.205291	 2
1469	 1469	 0.513333	 2
1935	 1946	 0.071429	 1
1943	 1945	 0.090053	 3
1247	 1247	 0.519827	 3
2036	 2037	 0.500000	 1
2197	 2197	 0.509174	 2
1467	 1467	 0.523160	 3
2597	 2597	 0.209174	 2
1304	 1304	 1.000000	 2
1316	 1318	 0.339827	 2
1836	 1836	 1.000000	 2
1248	 1248	 0.221094	 3
1501	 1502	 0.506024	 2
2341	 2342	 0.166667	 1
2214	 2214	 0.509174	 2
1264	 1265	 0.333333	 1
1935	 1952	 0.071429	 1
1556	 1556	 1.000000	 2
2258	 2258	 0.552632	 2
1216	 1216	 0.273796	 3
1511	 1512	 0.500000	 1
2065	 2605	 0.200000	 1
2131	 2132	 0.500000	 1
1877	 1877	 0.510753	 2
1345	 1346	 0.224786	 3
2118	 2119	 0.500000	 1
2341	 2343	 0.166667	 1
1197	 1201	 0.166667	 1
2409	 2410	 0.200000	 1
1264	 1266	 0.333333	 1
1624	 1624	 0.339357	 2
1501	 1501	 0.506024	 2
1837	 1837	 0.508130	 2
1777	 1780	 0.312500	 2
1400	 1403	 0.250000	 1
1215	 1216	 0.273796	 3
2482	 2482	 0.506024	 2
2167	 2167	 0.642857	 2
1346	 1346	 0.224786	 3
2520	 2520	 0.511628	 2
2305	 2305	 0.341463	 2
1711	 1711	 0.360005	 3
1367	 1367	 0.756494	 3
1940	 1940	 0.090053	 3
1826	 1827	 0.583333	 2
2075	 2076	 0.333333	 1
2169	 2170	 0.516667	 2
1570	 1570	 0.519357	 3
2570	 2570	 0.588624	 3
1984	 1987	 0.333333	 1
2264	 2266	 0.510638	 2
2326	 2330	 0.200000	 1
2114	 2114	 0.521958	 3
1910	 1910	 0.547619	 2
1178	 1178	 0.506494	 2
2486	 2488	 0.500000	 1
2078	 2080	 0.267857	 2
1471	 1474	 0.250000	 1
1370	 1370	 0.552632	 2
1870	 1871	 0.517132	 3
2354	 2355	 0.333333	 1
1683	 1683	 0.512518	 3
2159	 2159	 0.887564	 4
1943	 1943	 0.090053	 3
1524	 1525	 0.510753	 2
1502	 1502	 0.506024	 2
1841	 1842	 0.338624	 2
2346	 2346	 0.376812	 2
1566	 1566	 0.516667	 2
2397	 2399	 0.263158	 2
1797	 1798	 0.333333	 1
1989	 1990	 0.352691	 3
1784	 1784	 0.357419	 3
1524	 1524	 0.510753	 2
1685	 1685	 0.352871	 3
1249	 1249	 0.207937	 2
2196	 2197	 0.500000	 1
1473	 1474	 0.250000	 1
2598	 2599	 0.200000	 1
2149	 2149	 0.678862	 3
2430	 2430	 0.513158	 2
1808	 1808	 0.450000	 2
1527	 1529	 0.339357	 2
1370	 1371	 0.552632	 2
1347	 1348	 0.200000	 1
1472	 1473	 0.250000	 1
2674	 2674	 0.302632	 2
1474	 2495	 0.250000	 1
2500	 2500	 0.341463	 2
2355	 2356	 0.333333	 1
1225	 1226	 0.500000	 1
2530	 2530	 0.274266	 3
1842	 1842	 0.351958	 3
1941	 1942	 0.071429	 1
1930	 1962	 0.111111	 1
1429	 1430	 0.513514	 2
2226	 2226	 0.507937	 2
1346	 1348	 0.200000	 1
1871	 1871	 0.517132	 3
2362	 2363	 0.338624	 2
1197	 2313	 0.333333	 1
1798	 1799	 0.333333	 1
2182	 2183	 0.338624	 2
1640	 2008	 0.500000	 1
1527	 1528	 0.339357	 2
1599	 1600	 0.519357	 3
1711	 1713	 0.346491	 2
1983	 2164	 0.166667	 1
1316	 1316	 0.339827	 2
2568	 2568	 0.507937	 2
2295	 2298	 0.500000	 1
2354	 2356	 0.333333	 1
1730	 1731	 0.505291	 2
