Id, Label, Weight, Res_Id
19701, gregory soyez, 1, 40646
16417, m.j.morgan, 1, 37289
15253, d.li, 1, 36063
21124, eric d.williams, 1, 42101
13290, g.hockney, 2, 34083
13525, s.ichinose, 4, 34320
12941, parviz haggi-mani, 2, 33726
16976, f.s.nogueira, 3, 37859
19308, takaomi shigehara, 2, 40251
16212, dean f.miller, 1, 37082
12760, l.sh.grigoryan, 1, 33542
18323, m.rinaldi, 7, 39235
16977, flavio s.nogueira, 4, 37859
9554, zhou bang-rong, 1, 42610
18910, marco scandurra, 2, 39842
13680, hiroshi itoyama, 3, 34476
12818, s.s.gubser, 13, 33599
9936, b.bistrovic, 1, 30636
20667, m.varadarajan, 2, 41633
18034, mariano quiros, 1, 38941
13831, andrei johansen, 5, 34630
10700, xiang-song chen, 7, 31416
20248, kevin e.thompson, 1, 41205
20200, veronique terras, 1, 41156
12870, kumar s.gupta, 10, 33652
19560, kordian andrzej smolinski, 1, 40503
12068, christophe fraser, 4, 32814
15723, r.b.mann, 30, 36579
9546, i.bandos, 4, 30236
14452, matt kleban, 1, 35252
14465, b.klein, 1, 35265
9360, a.ashtekar, 1, 30043
16338, alexander molev, 2, 37208
18792, wenceslao santiago-german, 2, 39720
12255, a.galajinsky, 4, 33021
18342, adam ritz, 4, 39253
12683, nicolas e.grandi, 1, 33464
19695, luiz eduardo silva souza, 2, 40640
12903, m.gutperle, 4, 33685
12318, c.garcia-recio, 1, 33083
16080, krzysztof a.meissner, 11, 36952
16173, a.micu, 1, 37043
14604, tadashi kon, 1, 35407
8886, izawa k.-i, 4, 29558
13353, r horan, 1, 34145
18211, a.recknagel, 13, 39119
13339, soon-tae hong, 11, 34131
9852, bruno bertrand, 1, 30544
10490, j.a.e.carrillo, 1, 31203
15387, j.llosa, 1, 36207
13417, p.howe, 2, 34215
13007, simon hands, 1, 33792
15061, i.lazzizzera, 2, 35864
10463, alan carey, 3, 31176
16422, keiichi morikawa, 5, 37294
18766, norma g.sanchez, 4, 39693
21282, m.yamaguchi, 2, 42260
17478, m.paschke, 2, 38380
20097, takahiro tanaka, 10, 41049
18819, r.e.gamboa saravi, 4, 39750
18227, c.von reichenbach, 1, 39134
15602, m.maggiore, 2, 36453
9921, nguyen tien binh, 1, 30620
13915, willard miller jr., 2, 34707
11577, j.d.edelstein, 4, 32312
16353, myriam mondragon, 5, 37223
19056, gunter m.schuetz, 1, 39995
10338, andrei a.bytsenko, 5, 31044
20488, richard hong tuan, 1, 41446
21460, c.k.zachos, 1, 42449
18763, stuart samuel, 3, 39690
17977, petr i.pronin, 1, 38882
21369, ki hyuk yee, 1, 42349
17367, lori paniak, 1, 38268
21501, alessandro zampini, 1, 42487
10340, a.g.bytsko, 6, 31047
9416, minos axenides, 6, 30100
12091, f.freire, 4, 32844
10945, olindo corradini, 10, 31664
20739, gabriele veneziano, 2, 41710
10148, nelson r.f.braga, 23, 30851
17817, mikhail s.plyushchay, 25, 38725
9064, cecilia albertsson, 4, 29738
10908, dragos constantin, 1, 31626
20150, t.r.taylor, 27, 41105
13809, li jiang, 2, 34607
10853, manuel a.cobas, 1, 31571
14650, v.e.korepin, 11, 35456
16023, barry m.mccoy, 12, 36889
12675, k.graham, 3, 33455
14663, c.p.korthals, 1, 29822
21219, y.-s.wu, 2, 42196
15632, j-m.maillard, 4, 36484
21694, b.zupnik, 4, 42685
20779, a.p.veselov, 2, 41750
21370, ali yegulalp, 2, 42351
11040, bruno carneiro da cunha, 4, 31761
12680, u.gran, 3, 33460
18831, s.sarkar, 1, 39762
18293, n.c.ribeiro, 1, 39204
19806, mark a.stern, 1, 40751
17438, mu- in park, 1, 38338
14238, r.kerner, 1, 35038
9351, t.asakawa, 2, 30034
13254, m.hindmarsh, 1, 34047
9366, p.aspinwall, 2, 30050
18408, m.j rodriguez-plaza, 1, 39323
14869, alexander kusenko, 3, 35677
17003, e.g.novak, 2, 37884
10951, filipe paccetti correia, 1, 31669
17491, v.pasquier, 9, 38393
9646, b basu-mallick, 2, 30334
12853, y.guler, 1, 33635
12469, gary w.gibbons, 10, 33243
21658, andrea zirotti, 2, 42649
14907, dieter lust, 53, 35716
9910, m.billo, 24, 30605
12964, theodore hall, 3, 33750
9194, m.anazawa, 3, 29873
15609, ulrika magnea, 2, 36460
14629, s.konstein, 1, 35434
10705, yaw-hwang chen, 4, 31421
12202, kazuyuki furuuchi, 7, 32960
21067, peter c.west, 2, 42043
11229, pierre deligne, 1, 31957
13744, oliver jahn, 2, 34541
10046, norma mankov c borv stnik, 3, 30750
11926, j.finkelstein, 1, 32667
14537, sahin kocak, 1, 35342
15361, hongya liu, 2, 36179
20704, s.vaula, 1, 41671
13274, masato hisakado, 7, 34066
19712, james sparks, 3, 40657
20377, craig a.tracy, 8, 41335
15882, javier mas, 8, 36745
11113, poul h.damgaard, 2, 31839
