Id	 Label	 Weight	 Res_Id
1955	 m. littman	 2	 6180
1889	 yezdi lashkari	 3	 5770
1438	 g.w. cottrell	 2	 2160
2618	 john wilkes	 1	 11320
1610	 m. georgeff	 2	 3540
1482	 sven delmas	 1	 2500
1406	 j.a. clouse	 2	 1890
2419	 a. smith	 1	 9790
1636	 k. golden	 4	 3740
1545	 david w. etherington	 1	 3020
1234	 m. balachandran	 1	 530
1987	 sridhar mahadevan	 3	 6420
1867	 k. n. kutulakos	 1	 5600
1657	 adam grove	 1	 3940
1547	 oren etzioni	 9	 3030
1877	 p. laird	 2	 5680
1946	 lin l.-j.	 1	 6140
1611	 m.p. georgeff	 2	 3540
2594	 r. weiss	 1	 11180
2620	 c. williams	 3	 11340
1931	 kai li	 2	 6110
1449	 r. crites	 2	 2220
1588	 eugene c. freuder	 1	 3360
1575	 kenneth forbus	 1	 3240
1502	 m. dorigo	 5	 2670
1474	 thomas dean	 2	 2420
1783	 leslie pack kaelbling	 4	 5000
2317	 j. sandberg.	 1	 9060
1810	 j. keane.	 2	 5170
2173	 pearl j.	 1	 7900
1413	 j. cohen	 3	 1950
2652	 j. yang	 1	 11560
1904	 john j. leggett	 1	 5880
1489	 l. de raedt	 4	 2570
1637	 keith golden	 1	 3740
2407	 s. singh	 4	 9710
1760	 a. jain	 1	 4830
1513	 c. dubnicki	 7	 2740
2162	 d. patterson	 1	 7830
2343	 j. h. schmidhuber	 2	 9220
2400	 r. g. simmons	 1	 9660
2672	 d. m. zhang	 1	 11740
2623	 michael williamson	 1	 11350
1943	 l-j lin	 1	 6140
2080	 andrew w. moore	 3	 7110
1989	 m. l. maher	 2	 6440
1600	 l. m. gambardella	 4	 3450
1663	 gullapalli v.	 1	 3990
1239	 d. h. ballard	 3	 560
2500	 s. thrun	 8	 10420
1490	 t. d. derose	 1	 2580
2609	 steven whitehead	 2	 11250
2077	 u.montanari	 1	 7100
1466	 s. davies	 2	 2350
2482	 m. tan	 2	 10300
1193	 c. w. anderson	 2	 260
1233	 m. b. balachandran	 1	 530
2488	 sukoya tawaratumida	 1	 10320
2208	 e. plaza	 5	 8130
1393	 lonnie chrisman	 3	 1800
1890	 j. - l. lassez	 4	 5780
2141	 t. oren	 1	 7660
2186	 alex pentland	 2	 7960
2028	 j. mcclelland	 2	 6740
1230	 l.c. baird	 2	 510
2657	 k. b. yoon	 1	 11610
1508	 n. r. draper	 1	 2720
2568	 a. walker	 1	 10970
1245	 bankert r.l.	 1	 600
1183	 j. allen	 1	 180
1263	 peter van beek	 2	 720
2430	 g. smolka	 1	 9850
1321	 s. j bradtke	 1	 1200
2330	 r schank	 1	 9140
2574	 d. waltz	 21	 11020
2398	 r. simmons	 4	 9660
1269	 kristin p. bennett	 1	 780
1737	 colin howson	 1	 4610
1994	 dennis w. manchak	 1	 6480
2207	 e plaza	 1	 8130
1702	 j. l. hennessy	 1	 4320
2665	 x. yu	 1	 11680
2067	 d. p. mitchell	 1	 7040
2442	 c. stanfill	 17	 9960
1182	 b.p allen	 1	 170
1178	 r. aleliunas	 1	 140
1888	 y. lashkari	 4	 5770
1240	 ballard d.	 1	 560
1442	 m. t. cox	 1	 2180
2422	 b. smith	 1	 9815
1297	 matthias blumrich	 2	 1030
1403	 p. clark	 1	 1880
1884	 a. lansky	 2	 5740
1995	 mangasarian ol	 3	 6490
2446	 craig stanfill	 1	 9960
2577	 d. l. waltz	 1	 11020
1984	 s. mahadevan	 23	 6420
2523	 eiji uchibe	 3	 10620
2266	 c. k. riesbeck	 2	 8610
2003	 j marks	 1	 6540
2575	 david waltz	 2	 11020
1633	 randy goebel	 4	 3720
2525	 p. urbach	 4	 10640
2526	 peter urbach	 1	 10640
1163	 a. l. abbott	 1	 20
1367	 paul r. calder.	 1	 1580
1754	 t. jaakkola	 7	 4780
1626	 matthew ginsberg	 2	 3660
2019	 maxwell jt	 2	 6670
1581	 s. fox	 1	 3300
1160	 agnar aamodt	 3	 10
2169	 t. payne	 1	 7880
1983	 maes p	 1	 6410
1773	 m. johnston	 3	 4930
2011	 b. masand	 4	 6610
2596	 dan weld	 1	 11200
1164	 m. r. abbott	 1	 30
2005	 k. marriott	 8	 6550
1777	 m. i. jordan	 5	 4970
2294	 s. rosenschein	 1	 8860
1762	 david v. james	 1	 4850
1402	 herbert h. clark	 1	 1870
1266	 s. bell	 1	 750
2506	 v. torre	 1	 10480
1401	 eve v. clark	 1	 1860
1161	 a aamodt	 1	 10
2056	 r. miikkulainen	 5	 6950
2298	 r. ross	 1	 8900
2642	 w. h. wolberg	 1	 11480
1346	 b.g. buchanan	 1	 1410
2410	 satinder pal singh	 3	 9710
2020	 maxwell j.t.	 1	 6670
1932	 m. li	 2	 6120
2246	 i. v. ramakrishnan	 1	 8470
1257	 b. bauer	 1	 670
2639	 l. e. wixson	 1	 11470
1689	 m. p. harper	 5	 4210
1959	 lok tin liu	 2	 6210
2129	 anthony ohare	 1	 7560
2635	 a. witkin	 1	 11450
1599	 l.m. gambardella	 1	 3450
1949	 gordon linoff	 1	 6150
1980	 maes p.	 1	 6410
2215	 david poole	 2	 8180
1793	 takeo kanade	 1	 5070
1509	 m. drummond	 5	 2730
1688	 j. s. harper	 2	 4200
1695	 m. heger	 1	 4260
2492	 c. k. tham	 1	 10370
1405	 j. clouse	 6	 1890
1871	 r.c. lacher	 1	 5630
1768	 christopher f. joerg	 2	 4910
2619	 b. williams	 1	 11330
2078	 a.w. moore	 2	 7110
1918	 k. r. levi	 1	 6000
1925	 l. lewis	 1	 6070
1979	 p. maes	 13	 6410
1923	 j. levy	 1	 6050
2251	 anand s. rao	 4	 8510
1962	 z. li	 2	 6240
2062	 p. j. millington	 1	 6990
2522	 e. uchibe	 6	 10620
2597	 d. weld	 22	 11200
1841	 j. kolodner	 6	 5440
1204	 yuichiro anzai	 2	 310
1891	 j. - l lassez	 1	 5780
2313	 jim sanborn	 1	 9040
2583	 kenneth wauchope	 3	 11090
1769	 m. s. john	 1	 4920
1303	 a. borgida	 2	 1080
2600	 d. s. weld	 1	 11200
2538	 w van de velde	 1	 10710
2595	 s. weiss	 1	 11190
2486	 sukoya tawaratsumida	 3	 10320
1231	 l. c. baird	 3	 510
2530	 p. e. utgoff	 1	 10650
1563	 r. e. fikes	 1	 3140
2406	 satinder p. singh	 2	 9710
1939	 long ji lin	 1	 6140
2081	 a. moore	 2	 7110
2363	 terrence j. sejnowski	 1	 9400
2252	 a. s. rao	 1	 8510
2520	 b. tversky	 1	 10600
1823	 j. kim	 1	 5300
2321	 v. saraswat	 1	 9100
2158	 p. patel-schneider	 6	 7810
2645	 j.-r. wu	 1	 11500
2402	 h. a. simon	 1	 9680
1827	 jonathan jay king	 1	 5320
1848	 kozierok r.	 1	 5470
1258	 m. bauer	 1	 680
2339	 jurgen h. schmidhuber	 1	 9220
2270	 r. reiter	 2	 8640
1625	 matthew l. ginsberg	 1	 3660
1426	 jonathan connell	 3	 2040
1645	 j. grant	 1	 3820
2061	 peter j. millington	 1	 6990
1511	 cezary dubnicki	 3	 2740
1203	 y. anzai	 3	 310
2507	 torre v.	 1	 10480
1799	 kaplan r.m.	 1	 5100
1253	 j. barwise	 1	 640
1640	 martin c. golumbic	 1	 3770
1394	 l. chrisman	 7	 1800
2222	 r. w. prager	 1	 8230
1252	 a. g barto	 1	 630
2423	 d. a. smith	 1	 9820
2338	 j. schmidhuber	 12	 9220
1221	 paolo avesani	 1	 430
1525	 p.; edwards	 1	 2860
2167	 z. pawlak	 1	 7870
1359	 m burstein	 1	 1520
1902	 j. s. lee	 1	 5860
1850	 robin kozierok	 2	 5470
1556	 adam farquhar	 1	 3100
1422	 robert j. collins	 2	 2020
2079	 a. w. moore	 23	 7110
2200	 a. b. philips	 2	 8070
1945	 l. j. lin	 2	 6140
1298	 m. blumrich	 7	 1030
2107	 bernhard nebel	 2	 7360
2512	 roger traylor	 1	 10530
2340	 juergen schmidhuber	 1	 9220
1288	 thomas o. binford	 1	 950
1981	 pattie maes	 6	 6410
2580	 c. ward	 1	 11050
1318	 r. j. brachman	 2	 1180
1471	 j. dean	 1	 2400
1450	 r.h. crites	 1	 2220
1792	 t. kanade	 1	 5070
2356	 d. g. schwartz	 1	 9340
1913	 v. lesser	 2	 5950
1249	 a. barto	 2	 630
2625	 r.j. williams	 1	 11360
1667	 john gurney	 1	 4020
2329	 r. s. schank	 2	 9140
1694	 matthias heger	 1	 4260
